theta; Tw; Q/Q0(hw); Q/Q0(cw); P/P0
-100; 561; 0.08; 0.08; 0.052
-90; 580; 0.13; 0.13; 0.039
-80; 605; 0.19; 0.2; 0.087
-70; 639; 0.29; 0.3; 0.183
-60; 674; 0.39; 0.41; 0.29
-50; 721; 0.51; 0.55; 0.449
-45; 735; 0.56; 0.6; 0.443
-40; 761; 0.63; 0.69; 0.589
-35; 778; 0.69; 0.76; 0.433
-30; 796; 0.73; 0.81; 0.701
-30; 797; 0.74; 0.82; 
-30; 806; 0.74; 0.73; 0.695
-25; 818; 0.78; 0.88; 0.528
-20; ; ; ; 0.572
-19; 816; 0.79; 0.88; 0.887
-18; ; ; ; 0.913
-17; 843; 0.84; 0.95; 0.628
-16; 865; 0.88; 1.01; 0.63
-15; 845; 0.88; 1; 0.935
-14; 861; 0.94; 1.07; 0.936
-13; ; ; ; 0.951
-12; 845; 0.88; 1; 0.962
-11; ; ; ; 0.972
-10; 858; 0.81; 0.92; 0.888
-10; ; ; ; 0.751
-10; ; ; ; 0.962
-10; ; ; ; 0.968
-10; ; ; ; 0.969
-10; ; ; ; 0.977
-9; ; ; ; 0.963
-8; ; ; ; 0.983
-7; ; ; ; 0.972
-6; ; ; ; 0.984
-5; ; ; ; 0.989
0; 837; 0.84; 0.95; 0.896
0; 849; 0.89; 1.01; 1.002
0; 858; 0.91; 1.04; 0.991
5; 845; 0.88; 1; 0.929
10; 833; 0.83; 0.94; 0.882
10; 839; 0.86; 0.97; 0.906
10; 839; 0.86; 0.97; 0.955
10; ; ; ; 0.947
30; 784; 0.71; 0.78; 0.715
50; 716; 0.5; 0.53; 0.431
70; 643; 0.29; 0.3; 0.184
90; 586; 0.14; 0.14; 0.06
