Theta; Cold Wall; Hot Wall
0.1196; 1; 0.856335551
0.1653; 1.000051421; 0.856361262
0.1719; 1.000056563; 0.856366404
0.1856; 1.000071989; 0.856371546
0.2261; 1.00012341; 0.856397256
0.2506; 1.00014912; 0.856412682
1.9097; 0.996714214; 0.855266
2.1345; 0.995773214; 0.854849491
2.8181; 0.992687969; 0.853368574
4.7748; 0.982928309; 0.847532318
5.7936; 0.977518846; 0.843670619
6.0872; 0.97591966; 0.842462231
6.1988; 0.975307753; 0.841994303
6.6432; 0.972849841; 0.840066024
6.8819; 0.971507759; 0.838996473
10.6947; 0.943915382; 0.818777831
11.0849; 0.940310787; 0.816381624
12.3813; 0.92788239; 0.807938336
12.9465; 0.922308381; 0.804014933
13.071; 0.92106914; 0.803130496
13.5606; 0.916173884; 0.799577321
15.8405; 0.892859714; 0.781744603
17.9797; 0.870250008; 0.763711344
18.0438; 0.86956097; 0.763161142
19.1189; 0.857857606; 0.753895122
19.6965; 0.851491716; 0.748938161
19.8732; 0.849532585; 0.747431533
20.9709; 0.837335582; 0.738211792
21.5359; 0.831046824; 0.733547929
23.2941; 0.811558357; 0.719088413
23.3593; 0.810838467; 0.718548495
24.7538; 0.795504798; 0.706639448
24.8941; 0.793957033; 0.70540535
26.3783; 0.77739955; 0.691891975
27.2552; 0.76736736; 0.683623518
27.4654; 0.764919732; 0.681618108
27.574; 0.76364964; 0.680579409
28.9758; 0.746891615; 0.666963193
29.5229; 0.740217201; 0.661558872
31.1204; 0.720610467; 0.64555159
31.1995; 0.719648899; 0.644749427
31.9293; 0.710907371; 0.637339696
32.6565; 0.702232689; 0.629940249
33.1433; 0.696252455; 0.624998714
33.3446; 0.693717412; 0.622962453
34.8885; 0.673755875; 0.607366537
35.8638; 0.661312052; 0.597473184
36.3189; 0.655676337; 0.592824748
36.976; 0.647798677; 0.586078345
37.158; 0.645654432; 0.584196345
37.3377; 0.643551323; 0.582340056
39.1548; 0.621481535; 0.563293808
40.7409; 0.598640435; 0.546283822
41.2668; 0.591503234; 0.540560692
42.1496; 0.582062384; 0.530831885
42.3633; 0.579984985; 0.528456246
43.1191; 0.572297582; 0.519971821
43.4361; 0.56884725; 0.516387795
44.5722; 0.555616689; 0.503486327
44.8758; 0.551945247; 0.500035995
46.5857; 0.530626202; 0.480840627
46.8452; 0.527319847; 0.47797649
47.4116; 0.520054095; 0.471759721
47.816; 0.514829746; 0.46734782
50.443; 0.48042926; 0.438670465
50.6715; 0.477446857; 0.436145706
50.9418; 0.473945103; 0.433153018
51.7726; 0.463254728; 0.423845861
54.1938; 0.430900789; 0.395893538
54.2116; 0.430643685; 0.395682713
54.6135; 0.424792003; 0.390977714
56.7155; 0.393821282; 0.366480866
56.8705; 0.391651326; 0.364696566
57.5052; 0.383048634; 0.357466808
57.6673; 0.380930099; 0.355631087
59.272; 0.361220523; 0.33775209
59.3564; 0.360228102; 0.336821375
61.0419; 0.340780773; 0.318366465
61.1839; 0.339155877; 0.316813559
62.2272; 0.32714913; 0.305326162
63.848; 0.307917768; 0.28753458
64.3748; 0.301577589; 0.281790882
64.5711; 0.299217376; 0.279656921
65.4765; 0.288372739; 0.269840698
66.4255; 0.277209293; 0.259659389
68.6666; 0.25185886; 0.236154962
70.4012; 0.232987443; 0.218625626
71.4621; 0.221690303; 0.208269486
71.5672; 0.220584757; 0.207261639
72.0984; 0.215000463; 0.202212121
72.2329; 0.213591534; 0.20094717
77.4474; 0.161044664; 0.154694201
79.1485; 0.145016815; 0.140121559
79.1665; 0.144847126; 0.139967296
79.3252; 0.143397061; 0.138599504
79.5864; 0.14101628; 0.136342133
79.6121; 0.140784886; 0.136121024
84.2319; 0.102707817; 0.098172506
84.6858; 0.099437457; 0.095066693
85.4521; 0.094135977; 0.090207431
85.6168; 0.093035573; 0.089220153
85.7918; 0.091883748; 0.088191738
90.2132; 0.066924113; 0.066276212
90.2406; 0.066785277; 0.066152802
90.2465; 0.066754425; 0.066121949
90.2655; 0.066656725; 0.066039676
90.3096; 0.066430474; 0.065839135
